id,text,Open AI Classfier,GPT Zero (perplexity),GPT Zero (burstiness),DetectGPT (z score),GPT Zero ,DetectGPT,
6243936,"game Power Athlete, is a Japanese video game developer and publisher. The company was founded in 1987 by Hideki Kamiya, who is the company's president.

In the early 1990s, Kamiya founded the game development company PlatinumGames with his friend Atsushi Inaba. PlatinumGames is best known for developing the Bayonetta series of video games. In October 2018, Kamiya announced that he was forming a new video game company called DEEP SILVER STUDIO.",AI,35.214,76.775,1.196,AI,AI,
737147,"game for the Nintendo DSi XL. The game is based on the PokÃ©mon anime, and follows the adventures of Ash Ketchum and Pikachu.

Hey You, Pikachu! was developed by The PokÃ©mon Company and Creatures, Inc., and published by Nintendo in North America on November 11, 2010. The game is a spin-off of the PokÃ©mon anime, following the adventures of Ash Ketchum and Pikachu.

The game is a virtual pet, where players must care for their Pikachu by feeding it, playing with it, and taking it on walks. Players can also use their Pikachu to battle other PokÃ©mon in mini-games.",AI,32.909,25.038,2.107,AI,AI,
30407363,"beyond the solar system, located around the star Kepler-10. It was announced in May 2016 by the Kepler team and confirmed in October 2016 by follow-up observations.

Kepler-10 is a sun-like star located about 1,000 light years from Earth in the constellation Cygnus. It is one of the few stars that has been monitored by Kepler, which found numerous planets transiting its surface. In particular, Kepler-10b was found to have two transits, indicating that it may be a terrestrial planet. Further observations were needed to confirm this.",AI,65.417,53.255,0.158,H,H,
64393803,"a German composer, musicologist and conductor.

Born in Frankfurt am Main, Spalteholz studied composition with Volker Bertelmann at the Hochschule fÃ¼r Musik und Theater MÃ¼nchen and musicology with Gerd Albrecht at the University of Cologne. He has since 2002 been a professor for composition at the Academy of Music and Theatre Krakow in Poland.

Spalteholz's compositions have been performed throughout Europe and North America, most notably by the Berlin Philharmonic Orchestra, the Orchestre National de France, the Royal Concertgebouw Orchestra Amsterdam, the Konzerthaus Vienna, the Orchestre National de Lorraine, the Bayerischer Rundfunk Orchester, L'Orchestre National de Marseille, La Scala Milan, Carnegie Hall New York City, Roy Thomson Hall Toronto and the Tanglewood Music Center USA. He has also worked with such ensembles as the Berliner Philharmoniker (with whom he won the 2006 Deutsche ECHO Klassik Award), l'Orchestre INTERNATIONAL de Paris (with whom he won the 2008 Gramophone Award for Best Classical Composition),",AI,56.7,101.574,1.207,AI,AI,
11622672,"is a retired Australian rules footballer who played with Melbourne in the Victorian Football League (VFL). 

A ruckman, Tulloch debuted with Melbourne in 1974, and was a member of their premiership team in 1976. He played 253 games for the club, including three finals. Tulloch also played for North Melbourne in the VFL during the 1980s.",AI,146.231,384.895,0.897,H,H,
6915942,"Buddhism practiced by the Newar people of Nepal. It is a distinct form of Buddhism that has developed in Nepal over the centuries, and has some unique features.

Newar Buddhism is based on the Tantric practice of chakrasamvara, which is said to be able to achieve Enlightenment. The practice involves using mantras and visualisations to connect with the various chakras in the body. Newar Buddhism is also known for its reverence for goddesses, including Parvati, Lakshmi, and Tara.",AI,66.294,88.129,1.286,AI,AI,
5222477,"the Indianapolis Motor Speedway on May 29, 1985. The race was won by A. J. Foyt, driving a Chevrolet driven by manager/owner Ray Evernham. Al Unser, Jr. finished second in a Penske Racing Ford, and Cale Yarborough finished third in a Lola-Ford.

The race was contested over 267 laps of the Indianapolis Motor Speedway's 2.5-mile oval. It was the first time that the Indy 500 had been televised live in its entirety; the race was also the first time that the race was broadcast in high definition. The race's official attendance was 281,070, making it the largest crowd to ever witness an Indy 500 event.

In 1983, after 34 years of competition, reigning champion Mario Andretti retired from racing at the age of 48. His last competitive event would be the 1983 Indianapolis 500; Andretti finished sixth in his last Indy 500 race.

Two other drivers who would go on to win numerous races during their careers made their Indy 500 debuts at this race: Kenny Brack (driving for Team Penske) and Rick Mears (driving for McLaren).",AI,19.364,14.334,1.252,AI,AI,
151141,"Collin counties in the U.S. state of Texas. As of the 2010 census, the city had a population of 204,976. Richardson is part of the Dallasâ€“Fort Worth, TX metropolitanplex and is about 30 minutes north of Downtown Dallas.

Richardson was founded in 1881 by C. C. Richardson and was named for him. The city's namesake was a member of the Texas House of Representatives and later the Texas Governor who helped organize and promote the town. By 1886, Richardson had a population of 700 and was the county seat of Dallas County. The city became known as the ""Queen City of the South"" because of its numerous cotton plantations. The cotton industry declined in the 1930s, however, and by the 1970s most of the plantations had been sold or abandoned.

In recent years, Richardson has transitioned from a traditional Southern city to become more diverse, with a growing technology sector. The city has made efforts to improve its economy by focusing on healthcare, business services, research and development, and manufacturing. Richardson is also home to several large corporate campuses, including IBM (a global technology company), Texas Instruments (an electronics manufacturer), Intel (a leading processor",AI,25.7,19.721,1.079,AI,AI,
34784092,"opened the New Glarus station on November 12, 1878. The station was located on the east side of Main Street, a block north of the town center. It was later moved to its present location at the intersection of Main and Second Streets in 1894.

The station served as a stop on the line between Chicago and Saint Paul, as well as a connection to the New Glarus Valley Rail Road. Passenger service ended in 1958, but freight service continued until 1984. The station was listed on the National Register of Historic Places in 1978.",AI,24.545,11.733,1.598,AI,AI,
39070352,"evolved to live in extreme environments. The Antarctic environment is one of the most inhospitable on Earth, with temperatures averaging -50 degrees Celsius and little to no sunlight. This has led to the evolution of many unique species of animals.

The wildlife of Antarctica is diverse, with over 1,000 species of animals living in the region. The most common animal in Antarctica is the penguin, which numbers in the millions. Other common animals include seals, skuas, lemurs, and rodents. The region is also home to a number of rare and endangered species, including the Southern Right whale, the Emperor penguin, and the AdÃ©lie penguin.",H,43.636,30.124,1.208,AI,AI,
4014290,"Video Animation) series created by Sunrise based on the visual novel of the same name. The show was directed by Atsushi Nishigori and written by RyÅko Takeuchi, with character designs by Toshiyuki Itahana.

The story follows the journey of six young people who are chosen to become idols and travel to a different city every week to perform for the public. However, their dreams of becoming famous quickly turn into a nightmare when they are forced to live in a TV studio and are systematically exploited by the network responsible for their careers.

The series was first announced in February 2016, with the first episode airing on October 7 of that year. The second episode aired on October 14, and the remaining episodes were released weekly thereafter. The series has been licensed in North America by Aniplex of America, who released the complete series on home video in December 2017.

""Idol Project"" received mixed reviews from critics. On review aggregation website Rotten Tomatoes, it has a rating of 49%, based on 20 reviews, with an average rating of 5.9/10. The site's critical consensus reads, ""While ""Idol Project"" offers some interesting ideas,",AI,59,88.428,0.983,AI,H,
21568998,"struck the Philippines on September 13, 2006. The system became a tropical storm on September 13 and strengthened into a typhoon the next day. Maria made landfall on the central Philippines on September 15 and weakened rapidly over the next two days. The system dissipated over the South China Sea on September 18. 

Maria was the eighteenth typhoon of the 2006 Pacific typhoon season and caused at least fifteen fatalities, ten of which were in the Philippines. Damage totaled $100 million (2006 USD).",AI,49.786,94.721,1.431,AI,AI,
55035891,"fifth studio album by Japanese singer-songwriter Ken, released on February 3, 2019. The album was preceded by the single ""Taco"" on December 5, 2018.

Ken is known for his soulful and emotive ballads, and this album continues in that vein. ""Ken"" is written and produced by Ken himself, and it features a variety of collaborators including DOKKEN, JUICY J, TK from The Killers, and Ryan Tedder from One Republic.

The album has received generally positive reviews from music critics, who praised Ken's emotive voice and the varied production on the album. It debuted at number 3 on the Japan Albums Chart and has since sold over 45,000 copies in Japan.",AI,418.214,1209.476,1.133,AI,AI,
28609206,"1966) is a Pakistani politician who has been a member of the National Assembly of Pakistan since August 2018. He had previously been a member of the Provincial Assembly of the Punjab from 2002 to 2018.

Tareen is a member of the Pakistan Peoples Party (PPP). He was elected to the National Assembly of Pakistan as a candidate of the PPP from Constituency PP-136 (Sargodha-I) in Pakistani general election, 2018.",AI,94.091,228.268,0.78,AI,H,
63049625,"typically made from wood, with a curved back and a round front. It has six strings, which are plucked by the player with the fingers or a plectrum. The quinton is similar in construction to the viola, but is smaller and has a higher pitched sound. It is often used in classical and baroque music, as well as in Celtic and medieval music.",AI,62.692,123.209,1.097,AI,AI,
32367655,"Ethiopian-born Canadian artist who specialized in abstract painting and sculpture.

Noah Komla Dzobo was born in Ethiopia in 1951. He came to Canada in 1974 and studied at the University of Western Ontario and the University of Toronto. He has exhibited his work in Canada, the United States, and Europe. He died in 2010.",AI,42.077,65.218,1.05,AI,AI,
13541610,"May 6, 2006) was an American football player and coach. He served as the head football coach at the University of North Carolina at Chapel Hill from 1973 to 1978, compiling a record of 32â€“34.

Gile played college football for the Tar Heels from 1953 to 1955. He was a member of the 1955 Tar Heels squad that won the National Championship. As a senior in 1955, he was a first team All-American and won the Heisman Trophy.

After playing professionally for the Cleveland Browns and Dallas Cowboys of the National Football League (NFL), Gile became an assistant coach at his alma mater, UNC, in 1970. He served as head coach there from 1973 to 1978, compiling a record of 32â€“34.",AI,43.846,19.65,1.907,AI,AI,
108159,"an unincorporated community in Santa Clara County, California, United States. The ZIP Code is 95030.

Monte Sereno is located at . 
The elevation is approximately . 

According to the United States Census Bureau, the community has a total area of , all of it land. 

Monte Sereno is served by the Monte Sereno School District.",AI,37.111,30.743,1.195,AI,AI,
42225744,"founded in the early 1960s by a group of friends who wanted to create a place where they could escape the hustle and bustle of everyday life. The small town is located on a picturesque bay in the state of Santa Catarina, Brazil. 

Today, Porto Rafael is a popular tourist destination due to its lovely surroundings, friendly people, and excellent facilities. The town has a wide range of activities available, including diving, fishing, hiking, golfing, and windsurfing. Visitors can also enjoy relaxing on the beach or taking a swim in the crystal-clear waters. There are also several restaurants and bars where visitors can enjoy a variety of local and international cuisine. 

If you're looking for a quiet getaway with plenty to do, then Porto Rafael is the perfect place for you.",AI,70.8,161.855,1.407,AI,AI,
1503717,"(born December 2, 1948, in Paddington, London, England) is a British singer and songwriter.

Stevie Vallance began her career as the lead vocalist for the rock band The Four Seasons. After leaving The Four Seasons in 1973, Vallance embarked on a successful solo career. She has released numerous albums and singles, including the Top 10 hits ""I Can't Give You Anything But Love"" and ""Sherry"". Vallance has also been nominated for several Grammy Awards, including Best Female Pop Vocal Performance for ""I Can't Give You Anything But Love"".",AI,18.417,9.624,1.022,AI,AI,
60122327,"Asta Krause; October 5, 1875, Frankfurt am Main, Germanyâ€”died February 10, 1954, Bad Homburg) German chemist who contributed to the development of organic chemistry and synthesis.

Von Mallinckrodt-Haupt studied chemistry at the universities of GÃ¶ttingen and Munich, receiving his doctorate from the latter in 1899. He then worked at Bayer AG as a research chemist, and in 1910 he was appointed professor of organic chemistry at the University of Freiburg. In 1936 he moved to the University of Berlin, where he became emeritus professor in 1954.

Von Mallinckrodt-Haupt is noted for his work on organic synthesis, which included the development of methods for the synthesis of complex organic molecules. His most important achievement was the synthesis of 1,2-diaminocyclohexane (1912), a key compound in the development of modern synthetic chemistry.",AI,23.615,13.264,1.574,AI,AI,
2159442,"in Saint Cloud, Minnesota, United States. It was built in the 1930s by the United States Army Corps of Engineers as part of the Saint Cloud Project. The dam was decommissioned in the 1990s and is now used for recreation.

The Saint Cloud Dam is located on the Sauk River in Saint Cloud, Minnesota. It is a concrete arch dam with a height of 134 feet (41 m). The dam impounds 660 acre-feet (1,500 m3) of water and has a capacity of 1,720 acre-feet (3,000 m3).",AI,24.25,31.387,1.016,AI,AI,
54734201,"1907 and is the oldest football club in the town of New Footscray, Victoria. The club competes in the Victorian State League Division 1, and has fielded a team in the Victorian Football League (VFL) since 1997.

The Newfooty Football Club was established in 1907, making it one of the oldest football clubs in Victoria. The club started playing its home games at the New Footscray Recreation Ground, before moving to its current home ground, North Melbourne Oval, in 1922. 

In 1997, the Newfooty Football Club merged with fellow Victorian side North Ballarat to form the North Melbourne Football Club. The club has fielded a team in the VFL since then, and has played in six Grand Finals, winning three (1935, 1951, 1955). The club also won the Victorian state league premiership in 1962. 

Today, the Newfooty Football Club competes in Division 1 of the Victorian State League. The club has a strong tradition and is known for its passionate supporters.",AI,22.154,20.359,1.324,AI,AI,
52300331,"February 25, 1998) was an American musician, best known as the drummer and primary songwriter for the rock band Creedence Clearwater Revival.

Rogers was born in Bakersfield, California, to Sinclair and Janie Rogers. He had two older brothers, Mark and Skip. In 1974, he married his high school sweetheart, Lynda. They had one daughter, Amber.

Rogers died of a heroin overdose in 1998 at age 43.",AI,25.667,12.587,0.965,AI,H,
10120609,"earth, brown earth, and desert grass, is an annual grass found in the southwestern United States and northern Mexico. It is a perennial grass that grows to 1.5 meters tall. The leaves are broad and flat, and the inflorescence is a single spike up to 40 centimeters long. The spike has up to 60 flowers, each with five yellow petals.",AI,32.091,35.24,1.115,AI,AI,
21884126,"of the elements iorwerth (meaning noble) and garth (plural garths, literally meaning garden). The name may refer to: 

Iorwerth ap Gwrgan (c. 600 â€“ 649), King of Gwynedd from 616 until his death.

Iorwerth Foel (born 1969), Welsh singer-songwriter.

Iorwerth Thomas (born 1984), Welsh footballer who plays for Swansea City.",AI,20.75,8.946,2.112,AI,AI,
62206201,"a Bosnian pop music duo consisting of brothers Rauf and Faik MediÄ‡. The two were born in Sarajevo, Bosnia and Herzegovina in 1978. The brothers began their musical career in the early 1990s, when they formed the band TV.

In 1998, the brothers released their first album, entitled ""Å½ivot je Å¾ao meni"". The album was a huge success, and they went on to tour throughout Bosnia and Herzegovina and Croatia. In 2001, they released their second album, entitled ""Kad sam bio mladi"". The album was also a hit, and they went on to tour throughout Europe.

In 2007, the brothers released their third album, entitled ""ÄŒovek je zaista lud"". The album was a huge success, and they went on to tour throughout Europe. In 2009, they released their fourth album, entitled ""Å to mislite o meni?"". The album was a huge success, and they went on to tour throughout Europe.

In 2013, the brothers released their fifth album, entitled ""Moja priÄa"". The album was a huge success, and they",AI,46.462,33.067,1.098,AI,AI,
42481094,"literary heritage, which is evident in the many written works that have been produced over the centuries. Laos has a long and profound literary tradition, dating back to the ancient times. Today, Laos boasts some of the best writers in Southeast Asia, and the country is home to both traditional and contemporary literature.

The literary traditions of Laos date back to antiquity. The earliest written records of Lao culture date back to the 3rd century BC, when the historian and philosopher Fa-Hien travelled to Lao PDR. Fa-Hien was one of the most famous translators and travellers of his time, and he left behind a detailed account of Lao culture and history. His work, The Travels of Fa-Hien, is one of the most important sources of information about Lao culture and history.

Lao literature flourished during the Sui and Tang dynasties (AD 590-907 and 907-1279). The literati of this period were highly educated, and they produced a number of classical works, including poetry, prose fiction, and historical writings. These works are characterized by their elegant prose style and richly descriptive language.

During the French colonial period",AI,45.154,33.401,2.115,AI,AI,
48755659,"a species of Iris native to the Mediterranean region.

The iris is a genus of around 100â€“150 species of flowering plants in the family Iridaceae. The genus is widespread across much of Europe, Asia, and North America, with a few species in Africa and South America. Many of the species are cultivated as garden plants. The name Iris comes from the Greek word for rainbow, probably because the flowers of many irises are multicolored.

Some irises are cultivated for their flowers, while others are used as garden plants or for landscaping. Some are selectively bred for various traits, such as large flowers or hardiness in cold climates. Iris sambucina is usually grown as an ornamental plant in temperate regions.",AI,37.071,35.552,0.234,AI,H,
14996795,"has written nine novels and two collections of short stories.

Krawiec was born in Chicago, Illinois, on March 19, 1962. He attended college at the University of Notre Dame, where he received a B.A. in English in 1984. He then attended the University of Wisconsinâ€“Madison, where he received an M.F.A. in 1987.

Krawiec's first novel, ""The Flamingo Rising,"" was published in 1989. His second novel, ""The Lotus Eaters,"" was published in 1993. His third novel, ""The Book of Daniel,"" was published in 1996. His fourth novel, ""The Great American Novel,"" was published in 2001. His fifth novel, ""The Thief,"" was published in 2004. His sixth novel, ""The Angelmaker,"" was published in 2007. His seventh novel, ""The Book of Ruth,"" was published in 2009. His eighth novel, ""The Book of Jeremiah,"" was published in 2012. His ninth novel, ""The Book of Jersualem,"" was published in 2016.

Krawiec has also written two collections of short stories: ""Born Into This"" and ""In the Country of",AI,56.385,53.6,2.397,AI,AI,
869302,"was a Congolese scholar, author, and politician.

Jean-Baptiste Bagaza was born in Bukavu on 29 August 1944. After completing his primary and secondary education in Bukavu, he studied at the University of Leuven, Belgium, where he obtained his doctorate in history in 1968. He returned to Congo to teach at the universities of Kinshasa and Lubumbashi. In 1977, he became director of research at the National Museum of the Congo. From 1992 to 1997, he served as the Minister of Culture and Communication in the government of Laurent Kabila. He was elected to the National Assembly of Congo in 2002 as a representative of the Union for Democracy and Social Progress (UDPS).

Bagaza was appointed Minister of Higher Education and Research in 2003 by President Joseph Kabila. He served as minister until his death on 4 May 2016.

Jean-Baptiste Bagaza was a prolific author, publishing more than a dozen books on subjects ranging from history to sociology to politics. Among his most notable works are ""Le Congo au XXe siÃ¨cle"" (1981), ""Le Royaume du Katanga"" (1983),",AI,38.75,14.271,0.87,AI,H,
50364667,"a Japanese professional footballer who plays for J2 League club Urawa Reds.

Han was born in Saitama Prefecture, Japan on 15 January 1993. He played for the Urawa Reds youth team from 2009 to 2012. Han made his professional debut for Urawa Reds on 3 April 2012 in a game against Sagan Tosu.",AI,33,39.693,1.006,AI,AI,
20924587,in railways. It usually refers to the C Line of the Paris MÃ©tro.,AI,50.214,58.306,0.874,AI,H,
33777350,": ÐÐ¸Ñ‡Ñ‚Ð¾ ÐŸ. Ð¡Ð¼Ð¾Ð»Ñ‡Ð¸Ð½Ð°, born 15 November 1984 in ChiÈ™inÄƒu) is a Moldovan professional footballer who plays for FC Sheriff Tiraspol as a midfielder.

SmochinÄƒ started his career with FC Sheriff Tiraspol, where he has made over 170 appearances and scored 21 goals since his debut in 2003. He has represented his country at various youth levels, and made his senior international debut in 2006.

SmochinÄƒ was part of the Sheriff Tiraspol team that won the Moldovan Cup in 2005, 2007, and 2010.",AI,41.769,20.993,1.114,AI,AI,
43047716,"December 2002) was an Indian film actor and producer. He was one of the most popular and successful actors in Tamil cinema, and also had a successful career in Telugu cinema. He has appeared in over 300 films.

Venu was born on 8 November 1940 in Tiruchirappalli, Tamil Nadu, India. He started his film career as an actor in the 1960s, appearing in supporting roles in Tamil and Telugu films. He gained prominence with the release of the comedy film ""Pattinathil Katchi"" (1971), which won him critical acclaim and established him as a leading actor in Tamil cinema. Venu subsequently starred in a number of commercially successful films, including ""Ponnar Shankar"" (1972), ""Kaali"" (1973), ""Kalathur Kannamma"" (1974), ""Sivaji"" (1976), and ""Muthuraman"" (1977). He also produced several of his own films. Venu retired from acting in the early 1990s, but continued to produce and appear in films sporadically until his death from a heart attack on 25 December 2002 at the age of 62.",AI,240.5,761.072,1.154,AI,AI,
25842095,"the first season of the American television series ""Breaking Bad"". It was written by Vince Gilligan and directed by Michelle MacLaren.

Breaking Bad resumes its Season 1 story arc with ""Fifteen Percent"". The episode follows Walt and Jesse's attempt to manufacture meth in order to cover their tracks after the death of Jane Margolis. 

The episode explores the moral implications of Walt and Jesse's actions, as well as their strained relationship. In particular, Walt questions Jesse's dedication to the meth business and Jesse retorts that Walt is only concerned with himself. Meanwhile, Hank continues to investigate Jane Margolis' death, uncovering new information that suggests she may not have died from an accidental fall. 

""Fifteen Percent"" received critical acclaim, with many reviewers praising the development of the characters and the suspenseful plot. The episode was also commercially successful, earning a Nielsen rating of 10.5 million viewers.",AI,80.214,168.051,1.656,AI,AI,
40442233,"and astrologer who falsely claimed to be the grandson of Richard II of England.

Born in 1440, Warbeck was a member of the noble Warbeck family and studied at the universities of Cologne and TÃ¼bingen. He claimed to be the grandson of King Richard II of England, who had been deposed and executed in 1485. In 1525, Warbeck married Elizabeth de Vere, daughter of John de Vere, 3rd Earl of Oxford. He travelled to England, where he was welcomed by the English court. He was eventually arrested and imprisoned in the Tower of London. Warbeck died in 1534.",AI,49.333,42.97,1.19,AI,AI,
712657,", North Wales, is a Site of Special Scientific Interest. It is one of the last areas of upland heath in North Wales and contains a number of rare species of plants. The heathland is also a Site of Nature Conservation Interest, due to its diverse habitats and its importance for the conservation of rare plant species.

The heathland covers an area of around 710 hectares and is managed by the National Trust, who have designated it as a nature reserve. The reserve is open to the public and is home to a number of rare plant species, including heather, bilberry, gorse and ruellia. There are also several ancient oak and birch trees, which are thought to be over 1,000 years old.",AI,34.154,15.646,1.022,AI,AI,
44082707,"(born February 17, 1966) is a Sri Lankan singer. She has had a successful career in the music industry, mainly in Sri Lanka and the United Kingdom.

Ranee Jayamaha was born on 17 February 1966 in Colombo, Sri Lanka. She began her musical career at a young age, singing in local churches. In 1984, she made her professional debut with the song ""Athuru Piditha"" on the album ""Sarath Sambandha"". Over the following years, she released several albums and achieved significant commercial success. In 1993, she recorded the song ""Nila Nila"" for the soundtrack of the Sinhala film ""Nila Nila"". The song became a major hit and won her several awards.

In 1997, Jayamaha moved to the United Kingdom to pursue a career in music. She released her first album in the UK that year, titled ""Ranee"". The album received critical acclaim and spawned several hit singles, including ""Ithu Ithu"" and ""Nandini"". In 2000, she released her second UK album, titled ""Innocent Melodies"". The album spawned several hit singles,",AI,37.182,41.638,1.228,AI,AI,
29604280,"Program is a program that allows novice skaters to develop their skills and learn about the sport of flat track roller derby. The Apprentice Program provides skaters with opportunities to participate in practice and games, as well as educational opportunities.

The Women's Flat Track Derby Association Apprentice Program was created to provide novice skaters with the opportunity to develop their skills and learn about the sport of flat track roller derby. The Apprentice Program provides skaters with opportunities to participate in practice and games, as well as educational opportunities. 

The Women's Flat Track Derby Association Apprentice Program is open to any skater who is at least 14 years old and has not previously competed in a WFTDA sanctioned bout. Applications for the Apprentice Program are accepted on a rolling basis, and new applications are accepted every month. If you are interested in applying for the Apprentice Program, please visit our website or contact us.",AI,37.154,24.224,3.39,AI,AI,
6619797,"2, 1996) was an American singer and actor.

Manna was born in Brooklyn, New York, the son of a butcher. After serving in the United States Army during World War II, he began his music career in 1947 as a member of the Harry James Orchestra. In the early 1950s he formed his own trio and began recording for Capitol Records. Manna's biggest success came in the early 1960s with the song ""The Boy from New York City"". He had several other hits over the years, including ""September Song"", ""I'm Waiting for You"", and ""The More I See You"". Manna retired from performing in the late 1970s. He died in 1996 at the age of 78.",AI,38.533,18.562,1.292,AI,AI,
26965418,"is a healthcare professional who provides clinical support and diagnostic services for mental health conditions, including schizophrenia and bipolar disorder. Psychiatric technicians may also provide care for individuals with dementia, autism, and intellectual disabilities.

Psychiatric technicians work in a variety of settings, including hospitals, clinics, schools, prisons, and private practices. They typically receive specialized training in psychiatry and mental health diagnosis and treatment. Psychiatric technicians are often required to have certification in psychiatric nursing or psychiatric technician/nurse.",AI,34.6,41.248,1.15,AI,AI,
